model,val_loss,val_dice,val_jaccard,val_bacc,val_auc,epoch
manet_flip_horizontal_f2,0.33084726333618164,0.9005588889122009,0.8191467225551605,0.9137932062149048,0.9758171439170837,35
manet_flip_horizontal_f3,0.33929960429668427,0.8953505903482437,0.8105921745300293,0.9121860414743423,0.9750616103410721,34
manet_flip_horizontal_f4,0.35608504712581635,0.8917298913002014,0.8047138452529907,0.907142385840416,0.9721459001302719,42
manet_flip_vertical_f0,0.331415019929409,0.8994071036577225,0.8172301054000854,0.9135650098323822,0.9758456647396088,52
manet_flip_vertical_f1,0.3296239376068115,0.9013625532388687,0.8204623758792877,0.913498267531395,0.9759619832038879,64
manet_flip_vertical_f2,0.33110347390174866,0.9003988206386566,0.8188799768686295,0.9136751294136047,0.9757856875658035,35
manet_flip_vertical_f3,0.34007877856492996,0.895018994808197,0.810048297047615,0.9119685888290405,0.9749979078769684,55
manet_flip_vertical_f4,0.3577418625354767,0.8917376101016998,0.8047205060720444,0.9073425680398941,0.9721619039773941,55
manet_gauss_003_f0,0.3349972143769264,0.8985495269298553,0.8158144652843475,0.9129284471273422,0.975379228591919,24
manet_gauss_003_f1,0.33220984041690826,0.9010161608457565,0.8198949545621872,0.9136276096105576,0.975638285279274,31
manet_gauss_003_f2,0.33476922661066055,0.8995385766029358,0.8174557834863663,0.9130209982395172,0.9753610491752625,30
manet_gauss_003_f3,0.3408229127526283,0.8948126584291458,0.809712216258049,0.9117184430360794,0.9748325645923615,22
manet_gauss_003_f4,0.3600931167602539,0.8911489248275757,0.8037667721509933,0.9069579988718033,0.971785232424736,32
manet_gauss_005_f0,0.33533598482608795,0.8982664942741394,0.8153488487005234,0.91254061460495,0.9753149151802063,25
manet_gauss_005_f1,0.33236726373434067,0.9005386680364609,0.8191061466932297,0.9130081236362457,0.9754181951284409,34
manet_gauss_005_f2,0.33279845863580704,0.8992712050676346,0.8170174658298492,0.9123648256063461,0.9754303097724915,26
manet_gauss_005_f3,0.3415401503443718,0.8946851640939713,0.8095022141933441,0.9118213355541229,0.9747842401266098,24
manet_gauss_005_f4,0.35883723944425583,0.8911812454462051,0.8038233816623688,0.9068859070539474,0.9717256873846054,25
manet_gauss_01_f0,0.3347562327980995,0.8985380977392197,0.815793827176094,0.9127552956342697,0.9754089564085007,20
manet_gauss_01_f1,0.3349436819553375,0.9007826000452042,0.8195046335458755,0.9135202616453171,0.9755041152238846,34
manet_gauss_01_f2,0.3342148959636688,0.8998091369867325,0.817906841635704,0.9132792204618454,0.9754844158887863,28
manet_gauss_01_f3,0.34190621972084045,0.8944351077079773,0.8090945035219193,0.9113767743110657,0.9746619164943695,19
manet_gauss_01_f4,0.3592229187488556,0.8913320153951645,0.8040611445903778,0.9071022719144821,0.9718125015497208,31
manet_gauss_02_f0,0.3350909650325775,0.8985173553228378,0.8157643675804138,0.9127962589263916,0.9753661155700684,26
manet_gauss_02_f1,0.3300859332084656,0.9010415971279144,0.819931760430336,0.9133568108081818,0.9757307469844818,29
manet_gauss_02_f2,0.33228379487991333,0.8997712433338165,0.8178405463695526,0.9129229635000229,0.9755279123783112,28
manet_gauss_02_f3,0.3413920924067497,0.8948161751031876,0.8097177743911743,0.9118038862943649,0.9747728258371353,26
manet_gauss_02_f4,0.3578198030591011,0.8914008438587189,0.8041594922542572,0.9066167622804642,0.9719579666852951,36
manet_gauss_05_f0,0.33840976655483246,0.8979296833276749,0.8147932440042496,0.9119693338871002,0.975263699889183,37
manet_gauss_05_f1,0.33194324374198914,0.9004989266395569,0.8190352618694305,0.9129005372524261,0.975492462515831,58
manet_gauss_05_f2,0.33406057953834534,0.8997654914855957,0.8178335726261139,0.9131531417369843,0.9754743725061417,38
manet_gauss_05_f3,0.3438798040151596,0.8941420614719391,0.8086140006780624,0.9111889153718948,0.9746002405881882,37
manet_gauss_05_f4,0.35912954062223434,0.8912450969219208,0.8039174377918243,0.9068505018949509,0.9718668907880783,35
manet_contrast_a0.8_b-20_f0,0.33691199123859406,0.8978728204965591,0.8147004395723343,0.9123573005199432,0.9751326441764832,30
manet_contrast_a0.8_b-20_f1,0.33234161138534546,0.9009932726621628,0.8198598921298981,0.9136333912611008,0.9756132811307907,24
manet_contrast_a0.8_b-20_f2,0.3374544382095337,0.8992357105016708,0.8169585913419724,0.9130518436431885,0.975269541144371,28
manet_contrast_a0.8_b-20_f3,0.3422156944870949,0.8940219581127167,0.8084157407283783,0.910772517323494,0.9745585322380066,21
manet_contrast_a0.8_b-20_f4,0.3585065007209778,0.8912487775087357,0.803920328617096,0.9068563282489777,0.9717827141284943,25
manet_contrast_a0.8_b-10_f0,0.3376209959387779,0.897839218378067,0.8146470785140991,0.9124524295330048,0.9750920981168747,31
manet_contrast_a0.8_b-10_f1,0.33263838291168213,0.9003996104001999,0.8188783526420593,0.9129731357097626,0.9753883481025696,21
manet_contrast_a0.8_b-10_f2,0.336140938103199,0.8991125077009201,0.816751018166542,0.9125882536172867,0.9750888347625732,21
manet_contrast_a0.8_b-10_f3,0.34209105372428894,0.8942823112010956,0.8088452219963074,0.9112760126590729,0.9746205508708954,23
manet_contrast_a0.8_b-10_f4,0.36085937917232513,0.8909495174884796,0.8034307062625885,0.9067990481853485,0.9717180728912354,38
manet_contrast_a0.8_b0_f0,0.3387231230735779,0.8978387266397476,0.8146454691886902,0.9126643091440201,0.9751189202070236,24
manet_contrast_a0.8_b0_f1,0.3338048607110977,0.9004136770963669,0.8189075589179993,0.913053959608078,0.9753161370754242,25
manet_contrast_a0.8_b0_f2,0.3328607976436615,0.8995585292577744,0.8174906373023987,0.912751168012619,0.9754306226968765,20
manet_contrast_a0.8_b0_f3,0.3453790247440338,0.8938616961240768,0.8081682771444321,0.9114975035190582,0.9744263738393784,20
manet_contrast_a0.8_b0_f4,0.3576187565922737,0.8912040293216705,0.8038475513458252,0.9066540002822876,0.971861332654953,31
manet_contrast_a0.8_b10_f0,0.33563385158777237,0.8983012735843658,0.8154057711362839,0.9126751720905304,0.9752710163593292,31
manet_contrast_a0.8_b10_f1,0.33167169988155365,0.9008672386407852,0.8196477293968201,0.9133802652359009,0.9755713939666748,45
manet_contrast_a0.8_b10_f2,0.33528875559568405,0.8991621136665344,0.8168392926454544,0.9124489277601242,0.9751259535551071,37
manet_contrast_a0.8_b10_f3,0.3406687155365944,0.8946162611246109,0.8093913793563843,0.9112898707389832,0.9747569710016251,29
manet_contrast_a0.8_b10_f4,0.36531496047973633,0.8909525722265244,0.8034418076276779,0.9070826470851898,0.9716677218675613,26
manet_contrast_a0.8_b20_f0,0.33542435616254807,0.8985591977834702,0.8158327341079712,0.9129193872213364,0.9753319025039673,31
manet_contrast_a0.8_b20_f1,0.3373815566301346,0.9007809013128281,0.8195054680109024,0.91365846991539,0.9755560159683228,24
manet_contrast_a0.8_b20_f2,0.3329870030283928,0.8997608870267868,0.8178244531154633,0.9129553139209747,0.9754858464002609,28
manet_contrast_a0.8_b20_f3,0.3412749767303467,0.8943473100662231,0.8089492321014404,0.9111567884683609,0.9747203141450882,38
manet_contrast_a0.8_b20_f4,0.361590251326561,0.8911142200231552,0.8037028610706329,0.9069232493638992,0.9718815833330154,36
manet_contrast_a0.9_b-20_f0,0.3384314626455307,0.8980204313993454,0.8149469345808029,0.9128081351518631,0.9751289188861847,24
