model,test_loss,val_loss,test_dice,val_dice,test_jaccard,val_jaccard,test_bacc,val_bacc,test_auc,val_auc,epoch
manet_s21_resnet50_d3_b8_lr0,0.3477351665496826,0.33438894152641296,0.8944159746170044,0.9000974297523499,0.8089985847473145,0.8183428645133972,0.9108247756958008,0.9115613102912903,0.9739724397659302,0.9749745726585388,42
manet_s22_resnet50_d3_b8_lr0,0.35021328926086426,0.33483263850212097,0.8939609527587891,0.9004239439964294,0.8082544207572937,0.8188828229904175,0.9109241962432861,0.9120780825614929,0.9740464091300964,0.975066065788269,41
manet_s24_resnet50_d3_b8_lr0,0.35144636034965515,0.3356781601905823,0.8944249749183655,0.9004576802253723,0.809013307094574,0.818938672542572,0.9109756946563721,0.9119613766670227,0.973967432975769,0.9749882221221924,52
manet_s26_resnet50_d3_b32_lr0,0.35074830055236816,0.3379959762096405,0.8936328291893005,0.8992547392845154,0.8077181577682495,0.8169508576393127,0.9101939797401428,0.910784900188446,0.9734575748443604,0.9744241237640381,61
manet_s27_resnet50_d3_b8_lr0,0.347781240940094,0.3346526622772217,0.8944681286811829,0.9002020359039307,0.8090839982032776,0.8185158371925354,0.910925030708313,0.9116454124450684,0.9740089178085327,0.9749225378036499,57
manet_s29_resnet50_d3_b8_lr2,0.40275657176971436,0.3958474397659302,0.8776307106018066,0.8813779950141907,0.7819446921348572,0.7879140377044678,0.8962123394012451,0.894806981086731,0.9652922749519348,0.9651647210121155,16
manet_s30_resnet34_d3_b8_lr1,0.36323362588882446,0.3540041446685791,0.889310359954834,0.8940389752388,0.8006830215454102,0.808381974697113,0.9061497449874878,0.9060555696487427,0.9713945388793945,0.9719778299331665,17
manet_s32_resnet50_d3_b8_lr0,0.3520774841308594,0.3358268737792969,0.8940672874450684,0.9004076719284058,0.8084282875061035,0.818855881690979,0.9108084440231323,0.9119693040847778,0.9739102125167847,0.974923849105835,75
manet_s34_resnet50_d3_b8_lr0,0.34466689825057983,0.3336697518825531,0.8947900533676147,0.9002079367637634,0.8096109628677368,0.8185255527496338,0.9108129143714905,0.9115261435508728,0.9741616249084473,0.9750860929489136,51
manet_s35_resnet18_d3_b32_lr0,0.3611307740211487,0.34920400381088257,0.8905560970306396,0.8956945538520813,0.8027048707008362,0.8110931515693665,0.9074863791465759,0.9076426029205322,0.9718992114067078,0.9727056622505188,43
manet_s37_resnet50_d4_b8_lr0,0.3571440577507019,0.34016501903533936,0.8927587866783142,0.899185836315155,0.8062911629676819,0.8168370723724365,0.90983647108078,0.9109524488449097,0.9733356237411499,0.974373459815979,52
manet_s39_resnet50_d3_b16_lr1,0.36944475769996643,0.3629149794578552,0.8864988088607788,0.8904901742935181,0.7961363196372986,0.8025978207588196,0.9032027721405029,0.9027506113052368,0.9702128171920776,0.9707285165786743,17
manet_s41_resnet34_d3_b64_lr2,0.4000956118106842,0.39641377329826355,0.877048909664154,0.8800007104873657,0.7810214161872864,0.7857154011726379,0.8951525688171387,0.8934918642044067,0.9651761054992676,0.9650082588195801,194
manet_s43_resnet50_d3_b8_lr0,0.35038095712661743,0.3344060182571411,0.8941648602485657,0.9005603790283203,0.8085878491401672,0.8191084861755371,0.911070704460144,0.9121963977813721,0.974111795425415,0.9751349687576294,71
manet_s45_resnet18_d3_b8_lr0,0.35766199231147766,0.3436936140060425,0.8916364312171936,0.8976579308509827,0.8044620156288147,0.814318835735321,0.9086365103721619,0.9094580411911011,0.9727064967155457,0.9736126661300659,27
manet_s46_resnet50_d3_b8_lr0,0.35567396879196167,0.33791446685791016,0.8935191035270691,0.8997201919555664,0.8075323104858398,0.8177194595336914,0.910739541053772,0.9115217924118042,0.973929762840271,0.974866509437561,47
manet_s48_resnet50_d4_b64_lr0,0.363705039024353,0.3505619168281555,0.8898340463638306,0.8955568671226501,0.8015324473381042,0.8108673691749573,0.9070644378662109,0.907579779624939,0.9717893600463867,0.9725513458251953,119
manet_s49_resnet50_d3_b8_lr0,0.3501048684120178,0.33616024255752563,0.8939921259880066,0.899847686290741,0.8083053231239319,0.8179301023483276,0.9107191562652588,0.9114444255828857,0.973910927772522,0.9747648239135742,78
manet_s52_resnet50_d3_b8_lr0,0.349083811044693,0.33444833755493164,0.8943631052970886,0.9005239009857178,0.8089121580123901,0.8190481662750244,0.9109706878662109,0.9120314717292786,0.9740028381347656,0.9750080108642578,47
manet_s53_resnet50_d3_b8_lr0,0.3443862795829773,0.3329096734523773,0.895048201084137,0.9002191424369812,0.8100337386131287,0.8185441493988037,0.9110627770423889,0.9115198850631714,0.9742048978805542,0.9752262830734253,67
manet_s55_resnet50_d3_b8_lr0,0.34712091088294983,0.3338984549045563,0.8947197794914246,0.9003769755363464,0.8094958662986755,0.8188051581382751,0.9111227989196777,0.9118168950080872,0.974055290222168,0.9750383496284485,33
manet_s57_resnet50_d3_b8_lr0,0.3486402928829193,0.3343656063079834,0.8943880796432495,0.9002948999404907,0.808953046798706,0.8186693787574768,0.9110521078109741,0.9118554592132568,0.9740724563598633,0.9750545024871826,48
manet_s58_resnet50_d3_b8_lr0,0.35501906275749207,0.33768224716186523,0.8933188319206238,0.8998764753341675,0.8072052001953125,0.8179776072502136,0.9102938175201416,0.9115790128707886,0.9736605882644653,0.9747684001922607,60
manet_s60_resnet50_d3_b8_lr2,0.3978922963142395,0.39368772506713867,0.8783489465713501,0.8814970850944519,0.7830857634544373,0.7881044149398804,0.8964371681213379,0.8948458433151245,0.9657462239265442,0.9655889272689819,16
manet_s62_resnet50_d3_b8_lr0,0.35416364669799805,0.3360915780067444,0.8935717344284058,0.9002814888954163,0.8076183199882507,0.8186472058296204,0.9107858538627625,0.9120413064956665,0.9739571809768677,0.9750666618347168,56
manet_s64_resnet50_d3_b8_lr0,0.35158413648605347,0.3359888792037964,0.8937201499938965,0.9001936912536621,0.8078608512878418,0.8185020685195923,0.9107525944709778,0.9118961095809937,0.9739001393318176,0.9749284982681274,55
manet_s65_resnet50_d3_b8_lr0,0.35161691904067993,0.33490443229675293,0.8938838839530945,0.9005671739578247,0.8081284761428833,0.8191198110580444,0.9110229015350342,0.9122594594955444,0.9741337299346924,0.9751266241073608,57
manet_s67_resnet50_d3_b16_lr0,0.3518220782279968,0.3372402489185333,0.8936365842819214,0.8996418118476868,0.8077242970466614,0.8175899386405945,0.9105762839317322,0.9113048315048218,0.9737846851348877,0.9746370315551758,58
manet_s69_resnet50_d3_b8_lr0,0.3484807014465332,0.333798348903656,0.8943161368370056,0.9005292654037476,0.8088352680206299,0.819057047367096,0.9108331203460693,0.911963939666748,0.9739205837249756,0.9750655293464661,61
manet_s71_resnet18_d3_b32_lr0,0.363494873046875,0.3535647392272949,0.8895213603973389,0.894001841545105,0.8010251522064209,0.8083212971687317,0.9064709544181824,0.9060871601104736,0.971467137336731,0.97203528881073,35
manet_s73_resnet50_d3_b8_lr0,0.34810763597488403,0.3346957266330719,0.8942341804504395,0.9002116918563843,0.80870121717453,0.8185318112373352,0.9108091592788696,0.9117413759231567,0.9738999605178833,0.9749466180801392,69
manet_s75_resnet50_d3_b8_lr0,0.347676157951355,0.33517658710479736,0.8944466710090637,0.9001976251602173,0.8090488314628601,0.818508505821228,0.9109177589416504,0.9116885662078857,0.9739820957183838,0.9748679399490356,56
manet_s76_resnet50_d3_b8_lr0,0.3472541570663452,0.33362722396850586,0.8945034146308899,0.9002492427825928,0.8091416954994202,0.8185939192771912,0.9109243154525757,0.9117171764373779,0.9740887880325317,0.9751016497612,66
manet_s78_resnet50_d4_b64_lr1,0.3850424587726593,0.37699589133262634,0.8828951120376587,0.8875661492347717,0.7903421521186829,0.7978597283363342,0.900869607925415,0.9003697633743286,0.9681776165962219,0.9682965278625488,69
manet_s81_resnet34_d3_b8_lr0,0.3532819151878357,0.3398129343986511,0.8929188251495361,0.8987283110618591,0.8065522313117981,0.8160822987556458,0.909554123878479,0.9103564023971558,0.9732047319412231,0.974170982837677,24
manet_s82_resnet50_d3_b8_lr0,0.3509955406188965,0.3352469801902771,0.8939669132232666,0.9004016518592834,0.8082641363143921,0.8188459873199463,0.9109406471252441,0.912082314491272,0.9739575386047363,0.9750221967697144,37
manet_s84_resnet50_d3_b8_lr0,0.34708017110824585,0.33388811349868774,0.8946534991264343,0.9002193212509155,0.8093873858451843,0.8185443878173828,0.9112266302108765,0.9117059111595154,0.9741912484169006,0.9750580191612244,57
manet_s86_resnet50_d3_b8_lr0,0.351276695728302,0.3360048532485962,0.893696129322052,0.9004420042037964,0.8078216314315796,0.81891268491745,0.9107400178909302,0.9121312499046326,0.9739506244659424,0.9749292731285095,43
manet_s88_resnet50_d3_b8_lr0,0.3493403494358063,0.33413034677505493,0.8940513730049133,0.9003872871398926,0.8084022998809814,0.8188222050666809,0.9106298685073853,0.9118337035179138,0.9736994504928589,0.975017786026001,45
manet_s90_resnet50_d3_b8_lr0,0.3502526581287384,0.3355048894882202,0.8939217925071716,0.9000998735427856,0.8081904053688049,0.8183469176292419,0.9108263254165649,0.9117683172225952,0.9739904403686523,0.9749573469161987,44
manet_s92_resnet50_d3_b8_lr2,0.3999865651130676,0.39415106177330017,0.8777238130569458,0.8817890882492065,0.7820925712585449,0.7885713577270508,0.8959784507751465,0.8951190710067749,0.9654598832130432,0.965337872505188,22
manet_s94_resnet50_d3_b8_lr0,0.35074642300605774,0.3360476493835449,0.8938890695571899,0.9000503420829773,0.8081369400024414,0.8182650208473206,0.9108428359031677,0.9117412567138672,0.9739850759506226,0.97489333152771,61
manet_s96_resnet50_d3_b8_lr0,0.348102331161499,0.33420318365097046,0.8944202065467834,0.9001686573028564,0.809005618095398,0.8184605836868286,0.9109863042831421,0.9117058515548706,0.9739916920661926,0.9750249981880188,70
manet_s98_resnet34_d3_b8_lr1,0.36511752009391785,0.35473939776420593,0.8890835046768188,0.8937973976135254,0.8003153800964355,0.8079870343208313,0.9060759544372559,0.9058871269226074,0.9712839126586914,0.971855878829956,14
manet_s100_resnet50_d3_b16_lr0,0.3528699278831482,0.3401879668235779,0.8932161927223206,0.8984649777412415,0.8070376515388489,0.8156481385231018,0.9096112251281738,0.9100191593170166,0.9732018113136292,0.9741564989089966,40
manet_s103_resnet50_d3_b8_lr0,0.3508630394935608,0.33596137166023254,0.8938453197479248,0.9002009630203247,0.8080654144287109,0.8185140490531921,0.910748302936554,0.9118643999099731,0.9739327430725098,0.9748789072036743,37
manet_s104_resnet50_d3_b8_lr0,0.34842872619628906,0.33385175466537476,0.8945268392562866,0.900646984577179,0.8091800808906555,0.8192518949508667,0.9112577438354492,0.9122074246406555,0.9741814136505127,0.97513747215271,62
manet_s106_resnet50_d3_b8_lr0,0.3543422818183899,0.33737486600875854,0.8935848474502563,0.9000473022460938,0.8076397776603699,0.8182600140571594,0.9106905460357666,0.911787748336792,0.9739357829093933,0.9748713970184326,51
manet_s109_resnet50_d3_b8_lr0,0.3489561676979065,0.3349802792072296,0.8943213224411011,0.9001249670982361,0.808843731880188,0.8183884024620056,0.9108129739761353,0.9116191864013672,0.9739590287208557,0.9749248027801514,69
manet_s111_resnet50_d3_b8_lr0,0.3509846329689026,0.3353025019168854,0.8938202857971191,0.9002567529678345,0.8080244660377502,0.8186063170433044,0.9106305837631226,0.9118602275848389,0.9738041758537292,0.974912166595459,39
manet_s113_resnet50_d3_b32_lr0,0.3569788336753845,0.3432903587818146,0.8919386267662048,0.8979283571243286,0.8049542307853699,0.8147640228271484,0.9090499877929688,0.9097615480422974,0.9728126525878906,0.973727822303772,53
manet_s115_resnet50_d3_b8_lr0,0.34740060567855835,0.333491712808609,0.8945210576057434,0.9003416895866394,0.8091705441474915,0.8187467455863953,0.9110630750656128,0.9117838144302368,0.9740968942642212,0.9751107692718506,69
