model,val_loss,val_dice,val_jaccard,val_bacc,val_auc,epoch
unet_baseline_single_f0,0.34558408707380295,0.8958576768636703,0.8113918751478195,0.9107434302568436,0.9740727692842484,34
unet_baseline_single_f1,0.34517352283000946,0.8979201316833496,0.8147824704647064,0.9109708070755005,0.9741558134555817,37
unet_baseline_single_f2,0.3410424143075943,0.8975305706262589,0.8141490370035172,0.9110876768827438,0.9742913544178009,43
unet_baseline_single_f3,0.35033195465803146,0.8920852094888687,0.8052609860897064,0.9095698744058609,0.9734646379947662,37
unet_baseline_single_f4,0.3660683408379555,0.8891512304544449,0.800518125295639,0.9049804657697678,0.9706799983978271,32
unet_baseline_double_f0,0.34670478105545044,0.8949027210474014,0.8098217844963074,0.9095797389745712,0.9736055433750153,24
unet_baseline_double_f1,0.33960476517677307,0.8977634757757187,0.8145216107368469,0.9102187305688858,0.9743494540452957,16
unet_baseline_double_f2,0.3427428901195526,0.8971367180347443,0.8135016113519669,0.9107724875211716,0.9740777313709259,17
unet_baseline_double_f3,0.35465557873249054,0.8909919708967209,0.8034734427928925,0.9085777699947357,0.9728625267744064,12
unet_baseline_double_f4,0.3681151866912842,0.8888018727302551,0.7999571561813354,0.9045359790325165,0.9705100059509277,20
unet_rotate_90_cw_f0,0.33890587091445923,0.8979308307170868,0.8147966414690018,0.9127113223075867,0.9750823974609375,61
unet_rotate_90_cw_f1,0.3360849693417549,0.899927094578743,0.8180961906909943,0.9126866459846497,0.9751601219177246,57
unet_rotate_90_cw_f2,0.33488018065690994,0.899535283446312,0.8174512535333633,0.9129477888345718,0.9752668291330338,57
unet_rotate_90_cw_f3,0.34428977966308594,0.8942757546901703,0.8088330179452896,0.911584734916687,0.9744983166456223,60
unet_rotate_90_cw_f4,0.36247294396162033,0.8904590755701065,0.802644208073616,0.906518429517746,0.971430167555809,51
unet_rotate_180_f0,0.33569078892469406,0.8981946259737015,0.8152293562889099,0.9123886823654175,0.9752194881439209,50
unet_rotate_180_f1,0.33471816778182983,0.8999273329973221,0.8180915862321854,0.9125280380249023,0.9751092046499252,36
unet_rotate_180_f2,0.3336995393037796,0.89924056828022,0.8169623613357544,0.9124154597520828,0.9752907007932663,50
unet_rotate_180_f3,0.34225090593099594,0.8944431990385056,0.8090999722480774,0.9112213850021362,0.9746769815683365,55
unet_rotate_180_f4,0.36107277125120163,0.8910288512706757,0.8035632967948914,0.9068311452865601,0.9716310650110245,50
unet_rotate_90_ccw_f0,0.3393426239490509,0.8976523727178574,0.8143375068902969,0.9122058898210526,0.9749244749546051,52
unet_rotate_90_ccw_f1,0.33520103245973587,0.9001785814762115,0.8185089081525803,0.9129120111465454,0.975235179066658,52
