epoch,train_loss,val_loss,val_dice,val_jaccard,val_bacc,val_auc
0,1.2089989185333252,5.6359333992004395,0.010884134098887444,0.005471845157444477,0.4997996985912323,0.5611156225204468
1,1.0267557899157207,13.509546279907227,0.005933783482760191,0.0029757204465568066,0.49983084201812744,0.5544118881225586
2,0.911274234453837,2.0030722618103027,0.044102732092142105,0.02254859358072281,0.5054202079772949,0.564307451248169
3,0.8403065403302511,7.90848970413208,0.010678840801119804,0.0053680832497775555,0.5002462267875671,0.4816747307777405
4,0.7829068104426066,4.6553521156311035,0.027095817029476166,0.013733974657952785,0.5014623403549194,0.4826121926307678
5,0.7323710521062216,3.6245620250701904,0.12718307971954346,0.06791004538536072,0.5174382925033569,0.5133742094039917
6,0.7014023661613464,1.5082879066467285,0.5661755204200745,0.3948708772659302,0.6409283876419067,0.6535096764564514
7,0.6757377982139587,0.9324886798858643,0.7500147223472595,0.6000188589096069,0.760930061340332,0.8577831983566284
8,0.6452882885932922,0.8423929214477539,0.776038646697998,0.6340385675430298,0.7878457307815552,0.8869658708572388
9,0.6261299053827921,0.8050622940063477,0.7843326330184937,0.6451869010925293,0.7959330677986145,0.898145318031311
10,0.5993609627087911,0.7685436010360718,0.7931457757949829,0.6572009921073914,0.8038206100463867,0.9156004190444946
11,0.5837832689285278,0.725139856338501,0.8060939908027649,0.6751737594604492,0.8184216022491455,0.9245039224624634
12,0.5637440085411072,0.697545051574707,0.815022885799408,0.6877962946891785,0.8293802738189697,0.9224534630775452
13,0.5518900752067566,0.6576725244522095,0.8239808082580566,0.700652539730072,0.8396392464637756,0.9277376532554626
14,0.5417310992876688,0.6837079524993896,0.8208867311477661,0.6961898803710938,0.8391953110694885,0.910248875617981
15,0.528041402498881,0.5737692713737488,0.8446650505065918,0.7310996651649475,0.8611114025115967,0.9410402178764343
16,0.5201242168744405,0.554991602897644,0.8490287661552429,0.7376629114151001,0.8652052879333496,0.943922758102417
17,0.5092604756355286,0.5371696949005127,0.8514255881309509,0.7412890195846558,0.8676955103874207,0.9460396766662598
18,0.4976845582326253,0.5681797862052917,0.8353554606437683,0.7172622084617615,0.8528799414634705,0.9371663331985474
19,0.49242260058720905,1.2791976928710938,0.7378314137458801,0.5845744013786316,0.7784281969070435,0.8118253946304321
20,0.48367319504419964,0.5645936727523804,0.8317263722419739,0.7119277119636536,0.8508820533752441,0.9358612298965454
21,0.4734112123648326,0.49390360713005066,0.8567733764648438,0.7494344115257263,0.8730127215385437,0.9516562223434448
22,0.46951868136723834,0.48340386152267456,0.8592792749404907,0.7532774806022644,0.8751664757728577,0.9529200792312622
23,0.47523831327756244,0.4760998785495758,0.8609516024589539,0.755851686000824,0.8766277432441711,0.9538561105728149
24,0.4604831437269847,0.48758840560913086,0.856787383556366,0.7494558691978455,0.8730956315994263,0.9506678581237793
