epoch,train_loss,val_loss,val_dice,val_jaccard,val_bacc,val_auc
0,0.8058379259374406,0.7567071318626404,0.8130406737327576,0.684977650642395,0.827397346496582,0.9237967729568481
1,0.5023862719535828,0.516237735748291,0.8560826182365417,0.7483779788017273,0.8713485598564148,0.9501718878746033
2,0.4499733828836017,0.44446641206741333,0.8656842708587646,0.7631775140762329,0.8808590173721313,0.9575384855270386
3,0.42569468087620205,0.4307030439376831,0.869114339351654,0.7685253620147705,0.8839011192321777,0.9601397514343262
4,0.40638047456741333,0.4029560089111328,0.8791923522949219,0.7844275832176208,0.8927831053733826,0.9643348455429077
5,0.39760565757751465,0.4199204444885254,0.8676995635032654,0.7663156390190125,0.8828291893005371,0.965729832649231
6,0.39095573623975116,0.3846924901008606,0.8836310505867004,0.7915223836898804,0.8966432809829712,0.9675905704498291
7,0.38262380328443313,0.3769494891166687,0.8876093626022339,0.7979295253753662,0.9004029631614685,0.968454122543335
8,0.3754362894429101,0.37362053990364075,0.887302815914154,0.7974342703819275,0.8999313712120056,0.9691570401191711
9,0.37269021570682526,0.3859059810638428,0.8806401491165161,0.7867355346679688,0.8938301801681519,0.969628095626831
10,0.3671915978193283,0.37208878993988037,0.8882352113723755,0.7989416718482971,0.9007613658905029,0.9693342447280884
11,0.36571867101722294,0.37474173307418823,0.8859195113182068,0.795202374458313,0.8985282182693481,0.9697083234786987
12,0.363117559088601,0.35991424322128296,0.8922731280326843,0.805499255657196,0.9044513702392578,0.9710941314697266
13,0.35906043814288247,0.3651043772697449,0.8891310095787048,0.8003922700881958,0.9013999700546265,0.9711530804634094
14,0.35423518386152053,0.3604932427406311,0.8916305303573608,0.8044524192810059,0.9037778973579407,0.971237301826477
15,0.3568565282556746,0.35665756464004517,0.8944326639175415,0.8090259432792664,0.9067280292510986,0.9718526601791382
16,0.35703231890996295,0.36545461416244507,0.8912191390991211,0.8037829399108887,0.9037562608718872,0.9704892635345459
17,0.35335372222794426,0.3622068464756012,0.8893586993217468,0.8007614016532898,0.901495099067688,0.9719839692115784
18,0.34819261729717255,0.37343114614486694,0.8880603909492493,0.7986587882041931,0.9007537364959717,0.9688286781311035
19,0.3520067102379269,0.3515193462371826,0.8946811556816101,0.8094326853752136,0.9066191911697388,0.9724454879760742
20,0.34969522555669147,0.37393486499786377,0.8868094086647034,0.7966375350952148,0.8993459939956665,0.9694870710372925
21,0.34466344118118286,0.3661259710788727,0.8873304128646851,0.7974787950515747,0.8996151089668274,0.9722418785095215
22,0.34936123755243087,0.35417336225509644,0.8944294452667236,0.8090206980705261,0.9065649509429932,0.9719677567481995
23,0.34418071144156986,0.40058276057243347,0.8820191025733948,0.7889392971992493,0.8950110673904419,0.9663438200950623
24,0.34497251775529647,0.3527044653892517,0.8960164189338684,0.8116211295127869,0.9083764553070068,0.9730695486068726
25,0.3397738453414705,0.3759441375732422,0.883041262626648,0.7905763983726501,0.8958221673965454,0.9722952842712402
26,0.33914992213249207,0.3488497734069824,0.8963840007781982,0.8122245073318481,0.9085869193077087,0.9732846021652222
27,0.3396161629094018,0.3459319472312927,0.8966599106788635,0.8126776814460754,0.9084912538528442,0.9732067584991455
28,0.3446199182007048,0.36802998185157776,0.8865125179290771,0.7961584329605103,0.8988706469535828,0.9724411964416504
29,0.34019816915194195,0.35645997524261475,0.8944149613380432,0.8089969754219055,0.9069793224334717,0.9727091193199158
30,0.335977703332901,0.3467540144920349,0.8956277966499329,0.8109835982322693,0.9072747230529785,0.9733709096908569
31,0.33403022752867806,0.3483050763607025,0.896060585975647,0.8116936683654785,0.9080328941345215,0.9729602932929993
32,0.33189547724193996,0.345689594745636,0.8961934447288513,0.8119116425514221,0.9078875780105591,0.9733774662017822
33,0.3335664967695872,0.34886521100997925,0.894720196723938,0.8094965219497681,0.9064465761184692,0.9731960892677307
34,0.3334991716676288,0.36253952980041504,0.8894262313842773,0.8008708953857422,0.9015463590621948,0.972091794013977
35,0.33314308855268693,0.37160974740982056,0.8856744766235352,0.7948076128959656,0.8981360197067261,0.9721797108650208
36,0.3288276063071357,0.36053818464279175,0.8903493285179138,0.8023689985275269,0.9023721218109131,0.9720314741134644
37,0.3296423984898461,0.36069124937057495,0.894177258014679,0.8086081147193909,0.9068137407302856,0.9725078344345093
38,0.3254684723085827,0.3500003516674042,0.8968069553375244,0.8129193186759949,0.9087662100791931,0.9731734991073608
39,0.32473551233609516,0.35703957080841064,0.8914938569068909,0.8042299747467041,0.9034034013748169,0.972590446472168
40,0.32758551504876876,0.3623621463775635,0.8896009922027588,0.8011543154716492,0.9017323851585388,0.9718108177185059
41,0.3213504023022122,0.351839542388916,0.894684374332428,0.8094379305839539,0.90675288438797,0.9723699688911438
42,0.3181113832526737,0.34831130504608154,0.8958128690719604,0.8112871646881104,0.9075818061828613,0.9730674624443054
43,0.3166176560852263,0.3577499985694885,0.892614483833313,0.8060557246208191,0.9047155380249023,0.9714983105659485
44,0.3145320581065284,0.3526639938354492,0.8943464159965515,0.8088847994804382,0.9063300490379333,0.9722731113433838
45,0.31596919066376156,0.35548150539398193,0.8944209218025208,0.8090067505836487,0.9067682027816772,0.972253680229187
46,0.31293539537323845,0.36004114151000977,0.8928784728050232,0.8064863681793213,0.9052599668502808,0.9713332653045654
47,0.3066786759429508,0.364265501499176,0.8916349411010742,0.8044596314430237,0.9036284685134888,0.9717651605606079
48,0.30079349213176304,0.3901006579399109,0.881301760673523,0.7877922058105469,0.8944265842437744,0.9689376354217529
49,0.29557551940282184,0.3641984462738037,0.8911707401275635,0.8037042021751404,0.9033995866775513,0.9709358215332031
50,0.2969686273071501,0.3790515065193176,0.8862193822860718,0.7956857681274414,0.8987762928009033,0.9700033664703369
51,0.29106470776928794,0.40197014808654785,0.8787171840667725,0.7836713790893555,0.8921716213226318,0.9685273170471191
52,0.28623652789327836,0.3715752959251404,0.8887547254562378,0.7997826933860779,0.9011132717132568,0.9704113006591797
53,0.28287584251827663,0.376825213432312,0.8883456587791443,0.7991203665733337,0.9009592533111572,0.9691762924194336
54,0.276149978240331,0.3767210841178894,0.8890538215637207,0.800267219543457,0.9015036821365356,0.9697154760360718
55,0.2677601898709933,0.38536742329597473,0.8875402808189392,0.7978178858757019,0.9003279209136963,0.9685379862785339
56,0.26168789466222125,0.40540650486946106,0.8815916776657104,0.7882556319236755,0.8948037624359131,0.9667561054229736
57,0.26016221940517426,0.39452627301216125,0.8860195875167847,0.7953636646270752,0.8990773558616638,0.967408299446106
58,0.2628517357839478,0.4100455641746521,0.8816960453987122,0.7884225845336914,0.8948314785957336,0.9675493240356445
59,0.2532321968012386,0.4522482454776764,0.8693114519119263,0.7688336968421936,0.884192943572998,0.9659764170646667
60,0.24514084143771064,0.44058316946029663,0.872533917427063,0.7738892436027527,0.8868883848190308,0.9641451835632324
61,0.24073982901043361,0.42802026867866516,0.8786301016807556,0.7835327982902527,0.8921801447868347,0.9657485485076904
62,0.23226877964205211,0.4204082190990448,0.8810437321662903,0.7873799204826355,0.8944805264472961,0.9646539688110352
63,0.2311792050798734,0.41963979601860046,0.8820873498916626,0.7890485525131226,0.8952583074569702,0.9667896628379822
64,0.2276825788948271,0.48735511302948,0.8623804450035095,0.7580569982528687,0.8784416913986206,0.964323103427887
65,0.22183832112285826,0.4262750744819641,0.8784313797950745,0.7832167744636536,0.8920962810516357,0.964146077632904
66,0.21882550087240007,0.46143707633018494,0.8692494034767151,0.7687366008758545,0.8840512037277222,0.9617920517921448
67,0.22069162213140064,0.4421628415584564,0.8795173168182373,0.7849450707435608,0.8930965662002563,0.964087963104248
68,0.2149364873766899,0.43980085849761963,0.878203272819519,0.7828541994094849,0.8919459581375122,0.9630762338638306
69,0.20613093922535577,0.4468768537044525,0.8782933354377747,0.7829973101615906,0.892023503780365,0.9631977081298828
70,0.19791734715302786,0.4478704333305359,0.8789132237434387,0.7839832305908203,0.8925291299819946,0.9640371799468994
71,0.19443339192205006,0.49399542808532715,0.8675270080566406,0.7660465240478516,0.8826358318328857,0.9629019498825073
72,0.19198594904608196,0.4897456169128418,0.866773247718811,0.7648718953132629,0.8819520473480225,0.9614541530609131
73,0.18860779537094963,0.4723840057849884,0.8712149858474731,0.771816611289978,0.8857073783874512,0.9601566791534424
74,0.1862789566318194,0.4753170311450958,0.8746834993362427,0.7772777676582336,0.8887694478034973,0.9618391394615173
75,0.1810955579082171,0.4760884940624237,0.8761355876922607,0.7795740962028503,0.8900625109672546,0.9623040556907654
76,0.1771951988339424,0.5101432800292969,0.8692396879196167,0.7687214016914368,0.8840592503547668,0.9620459079742432
77,0.17751487758424547,0.47951993346214294,0.8747749924659729,0.7774222493171692,0.8888574838638306,0.9612387418746948
78,0.16821280701292884,0.5048625469207764,0.8698362708091736,0.7696551084518433,0.8845394849777222,0.9608796238899231
79,0.16649780670801798,0.5048415660858154,0.8725118041038513,0.7738544940948486,0.8868495225906372,0.9603796601295471
80,0.16333228515254128,0.5124794244766235,0.8709100484848022,0.7713381052017212,0.8854547739028931,0.9604282975196838
81,0.15855107208093008,0.512048065662384,0.8720234632492065,0.7730865478515625,0.8864185214042664,0.9601503014564514
82,0.15537775225109524,0.5338149070739746,0.8688109517097473,0.7680510878562927,0.8836690187454224,0.9608094692230225
83,0.1512630151377784,0.5218478441238403,0.8710429668426514,0.7715466618537903,0.8855712413787842,0.9603726863861084
84,0.14731626874870724,0.5347905158996582,0.8724474906921387,0.77375328540802,0.8868004083633423,0.9612334370613098
85,0.1473170378141933,0.530967116355896,0.8732262849807739,0.7749792337417603,0.8874796628952026,0.960619330406189
86,0.145178792377313,0.5333148837089539,0.8690510988235474,0.7684264779090881,0.8837847113609314,0.9580864906311035
87,0.1382305667632156,0.5469883680343628,0.8685555458068848,0.7676519751548767,0.8834102153778076,0.9590862989425659
88,0.13788263582521015,0.5437590479850769,0.8704684376716614,0.7706455588340759,0.8850423693656921,0.9589327573776245
