epoch,train_loss,val_loss,val_dice,val_jaccard,val_bacc,val_auc
1,0.7483240638460432,0.5877268314361572,0.8368686437606812,0.7194962501525879,0.8517502546310425,0.9408669471740723
2,0.5275514926229204,0.5487809181213379,0.8546057343482971,0.7461236119270325,0.8705441951751709,0.9399369955062866
3,0.49134658915655954,0.4159749448299408,0.8736593723297119,0.775661826133728,0.8878569602966309,0.9637802839279175
4,0.47836854372705734,0.42796897888183594,0.8782834410667419,0.7829816341400146,0.8921538591384888,0.9608852863311768
5,0.4702385008335114,0.40674570202827454,0.8803597688674927,0.7862880825996399,0.8937704563140869,0.9640218019485474
6,0.463450402872903,0.4047972857952118,0.8757441639900208,0.7789545655250549,0.889632523059845,0.966678261756897
7,0.4555014269692557,0.3784485459327698,0.8893808722496033,0.8007974028587341,0.9024004936218262,0.9696816205978394
8,0.45228456003325324,0.36946234107017517,0.8901598453521729,0.8020613193511963,0.9024540185928345,0.9705660939216614
9,0.448893312897001,0.3645745515823364,0.8927062153816223,0.8062053918838501,0.9052737951278687,0.9708479642868042
10,0.446991503238678,0.37718015909194946,0.8876324892044067,0.7979668974876404,0.8999841809272766,0.9708706736564636
11,0.4453821233340672,0.3764042258262634,0.8922512531280518,0.8054635524749756,0.9050971865653992,0.9712798595428467
12,0.4439690291881561,0.35688576102256775,0.8930175304412842,0.806713342666626,0.9049278497695923,0.9721025824546814
13,0.44357076031821113,0.3956027030944824,0.8804044723510742,0.7863593697547913,0.8936343193054199,0.9685912132263184
14,0.4384481302329472,0.3716917634010315,0.8882740139961243,0.7990044951438904,0.900525689125061,0.9706571102142334
15,0.44115109188216073,0.3524256646633148,0.8946399688720703,0.8093651533126831,0.9064733386039734,0.9724828004837036
16,0.43934996553829736,0.3583795726299286,0.8955909609794617,0.8109232187271118,0.9077935218811035,0.9723005890846252
17,0.4374373359339578,0.3490552306175232,0.8967673778533936,0.8128542900085449,0.9086579084396362,0.9728251695632935
18,0.43735917466027396,0.3712264597415924,0.89433753490448,0.808870255947113,0.9062886238098145,0.9720194935798645
19,0.43739008477755953,2.1828742027282715,0.8257212042808533,0.703173041343689,0.8422389626502991,0.8680328130722046
20,0.43973512138639176,0.34836816787719727,0.8964967131614685,0.8124096393585205,0.9082942008972168,0.9729936718940735
21,0.43758528998919893,0.3534370958805084,0.8964976072311401,0.8124111294746399,0.9085819721221924,0.9726773500442505
22,0.4348092496395111,0.3825608491897583,0.8827810287475586,0.7901593446731567,0.8955845832824707,0.9722108840942383
23,0.43420113665716986,0.3597424626350403,0.8906660079956055,0.8028835654258728,0.9025496244430542,0.9731898307800293
24,0.43687948158809115,0.3517516851425171,0.8961366415023804,0.8118184804916382,0.9078866839408875,0.9730595350265503
25,0.4336422613688878,0.3537740111351013,0.8955442309379578,0.8108466267585754,0.9073487520217896,0.9725339412689209
26,0.4341124517577035,0.35169100761413574,0.8957666158676147,0.8112112879753113,0.9073878526687622,0.9732279777526855
27,0.43189946583339145,0.7111442685127258,0.7906197309494019,0.6537395119667053,0.8235968351364136,0.920924186706543
28,0.43353160534586227,0.3658308982849121,0.8912562131881714,0.8038432598114014,0.9032139778137207,0.9717540740966797
29,0.43564204829079767,0.34714850783348083,0.8961546421051025,0.8118480443954468,0.9077041745185852,0.9734468460083008
30,0.4326445187841143,0.3538500666618347,0.8929354548454285,0.8065793514251709,0.9046531915664673,0.9729299545288086
31,0.43545066714286806,0.37231552600860596,0.8893156051635742,0.800691545009613,0.901414155960083,0.9707186222076416
32,0.43429903813770837,0.34959283471107483,0.8968579173088074,0.8130031228065491,0.9089338779449463,0.9728737473487854
